"","week","franchise_id","franchise_name","franchise_score","result","opponent_id","opponent_name","opponent_score","game_id","isFinalScore","isDivisional","isPlayoffs","isThirdPlaceGame","isChampionshipGame"
"2613",10,1252781,"LatDropKing's Underachievers",92.34,"LOSE",1252735,"in_toto the void",146.36,"50884410",TRUE,NA,NA,NA,NA
"2614",10,1315349,"Jakesnake42’s Orange Lightning",78.64,"LOSE",1417290,"Lurkerish's You could fill two internets",111.44,"50884411",TRUE,NA,NA,NA,NA
"2615",10,1316206,"sbdreiser's 2 Can Slams",139.28,"WIN",1172103,"_CodeMonkey’s Wild Ride",110.64,"50884412",TRUE,NA,NA,NA,NA
"2616",10,1323879,"GATTACA!!",140.98,"WIN",1175353,"vivasaur’s Good Wilfork Hunting",102.1,"50884413",TRUE,NA,NA,NA,NA
"2617",11,1085277,"caltomin's Rookie Numbers",101.6,"LOSE",1172103,"_CodeMonkey’s Wild Ride",149.1,"50884417",TRUE,NA,NA,NA,NA
"2618",11,1417290,"Lurkerish's You could fill two internets",121.52,"LOSE",1172417,"5 Centimeters Per Second (r/Takuru)",171.48,"50884419",TRUE,NA,NA,NA,NA
"2619",11,1006477,"Colonel Mostert",122.88,"WIN",1175353,"vivasaur’s Good Wilfork Hunting",105.64,"50884416",TRUE,NA,NA,NA,NA
"2620",11,1323879,"GATTACA!!",108.34,"LOSE",1252781,"LatDropKing's Underachievers",123.22,"50884421",TRUE,NA,NA,NA,NA
"2621",11,1252735,"in_toto the void",103.4,"WIN",1258433,"Ballofpopculture's Relegations",89.68,"50884418",TRUE,NA,NA,NA,NA
"2622",11,1316206,"sbdreiser's 2 Can Slams",116.5,"WIN",1315349,"Jakesnake42’s Orange Lightning",87.46,"50884420",TRUE,NA,NA,NA,NA
"2623",11,1172103,"_CodeMonkey’s Wild Ride",149.1,"WIN",1085277,"caltomin's Rookie Numbers",101.6,"50884417",TRUE,NA,NA,NA,NA
"2624",11,1172417,"5 Centimeters Per Second (r/Takuru)",171.48,"WIN",1417290,"Lurkerish's You could fill two internets",121.52,"50884419",TRUE,NA,NA,NA,NA
"2625",11,1175353,"vivasaur’s Good Wilfork Hunting",105.64,"LOSE",1006477,"Colonel Mostert",122.88,"50884416",TRUE,NA,NA,NA,NA
"2626",11,1252781,"LatDropKing's Underachievers",123.22,"WIN",1323879,"GATTACA!!",108.34,"50884421",TRUE,NA,NA,NA,NA
"2627",11,1258433,"Ballofpopculture's Relegations",89.68,"LOSE",1252735,"in_toto the void",103.4,"50884418",TRUE,NA,NA,NA,NA
"2628",11,1315349,"Jakesnake42’s Orange Lightning",87.46,"LOSE",1316206,"sbdreiser's 2 Can Slams",116.5,"50884420",TRUE,NA,NA,NA,NA
"2629",12,1252735,"in_toto the void",129.26,"WIN",1006477,"Colonel Mostert",104.96,"50884422",TRUE,TRUE,NA,NA,NA
"2630",12,1417290,"Lurkerish's You could fill two internets",112.8,"LOSE",1085277,"caltomin's Rookie Numbers",139.06,"50884423",TRUE,TRUE,NA,NA,NA
"2631",12,1252781,"LatDropKing's Underachievers",123.8,"LOSE",1172103,"_CodeMonkey’s Wild Ride",128.56,"50884424",TRUE,TRUE,NA,NA,NA
"2632",12,1316206,"sbdreiser's 2 Can Slams",118.9,"WIN",1172417,"5 Centimeters Per Second (r/Takuru)",114.5,"50884426",TRUE,TRUE,NA,NA,NA
