"","player_id","player_name","team","pos","sportradar_id","position_eligibility"
"36",13802,"Nick Chubb","CLE","RB","4bd60b33-9fbf-4156-ba2b-8264ac37b418","RB"
"37",16824,"Chris Olave","NO","WR","2375d572-a36c-4365-bb3f-87e156526e2f","WR"
"38",14673,"Josh Jacobs","LV","RB","61694ab9-b099-408e-b48d-6a643dd069ec","RB"
"39",13111,"Aaron Jones","GB","RB","27dd5b6e-ea65-4622-a6b4-460fd144407c","RB"
"40",17586,"Anthony Richardson","IND","QB","5fc5b4a6-a583-4345-a810-4f982204ea5e","QB"
"41",12042,"Derrick Henry","TEN","RB","87c481c7-7414-43cc-82df-19ca0c2ae22e","RB"
"42",16236,"Jaylen Waddle","MIA","WR","0ff9a975-669d-4851-a95d-ab28d9fc29c4","WR"
"43",12926,"Chris Godwin","TB","WR","baa61bb5-f8d0-4f90-bbe2-028576b8d33d","WR"
"44",9380,"Keenan Allen","LAC","WR","5f424505-f29f-433c-b3f2-1a143a04a010","WR"
"45",14694,"A.J. Brown","PHI","WR","a9e580f2-1fbe-46fb-887c-c84089b507e4","WR"
"46",17603,"Bijan Robinson","ATL","RB","f78d68c2-f9da-48e7-b954-26b69efd828d","RB"
"47",12951,"James Conner","ARI","RB","28a084c0-14df-499f-bd1f-b975603626b7","RB"
"48",13776,"Calvin Ridley","JAC","WR","926e2674-52d6-4cec-9991-46ee85cc8cfd","WR"
"49",16834,"Breece Hall","NYJ","RB","db1053d7-3343-43a3-9aab-8353f10f1221","RB"
"50",16890,"Kenneth Walker","SEA","RB","22ee9bac-a64c-4d44-94fc-51d775465b3b","RB"
"51",16798,"Garrett Wilson","NYJ","WR","68d72fe0-79b2-4fdb-afd5-6c79676e77f3","WR"
"52",16987,"Sam Howell","WAS","QB","7d85e9c2-f464-4654-9200-acfcffd7dfaf","QB"
"53",16241,"Travis Etienne","JAC","RB","970693f0-0af4-4627-ac0c-bf519f7433ee","RB"
"54",15544,"Jerry Jeudy","DEN","WR","eaaa4a61-c2a7-4926-8e9b-3ec71be2f991","WR"
"55",16282,"Javonte Williams","DEN","RB","889dcdc5-3d88-45df-9677-5ad7ff87c011","RB"
"56",15585,"Tee Higgins","CIN","WR","7963b029-5de4-4541-b00a-44eefe4349af","WR"
"57",13806,"Christian Kirk","JAC","WR","ebcd87ce-218c-4144-810b-921c2f59d6e8","WR"
"58",11242,"Tyler Lockett","SEA","WR","dffa69ad-331e-4f09-ae38-40a5a4406be6","WR"
"59",11177,"Amari Cooper","CLE","WR","00f88be8-45f9-4237-b2b8-3271ec790d07","WR"
"60",16246,"Najee Harris","PIT","RB","48ec58c3-ec26-4434-b005-8d34035e6667","RB"
"61",13829,"Mark Andrews","BAL","TE","0618f387-9b72-4270-8b8f-dec4cccc9e4a","TE"
"62",16253,"DeVonta Smith","PHI","WR","3555d07e-57ae-43de-97d5-b1b5bf055f17","WR"
"63",16896,"Christian Watson","GB","WR","47d97f44-b4aa-46d2-816c-5b5a1fe48d46","WR"
"64",14700,"Alexander Mattison","MIN","RB","ae4faec0-509d-4080-b5cb-d1a44d062858","RB"
