"","week","franchise_id","franchise_name","franchise_score","result","opponent_id","opponent_name","opponent_score","game_id","isFinalScore","isDivisional","isPlayoffs","isThirdPlaceGame","isChampionshipGame"
"1198",4,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",97.5,"LOSE",880727,"Trancemark Troublemakers",135.38,"50883787",TRUE,NA,NA,NA,NA
"1199",4,1252730,"Show Me Your TDs",141.34,"WIN",1084591,"sakuraba39",139.46,"50883788",TRUE,NA,NA,NA,NA
"1200",4,1315309,"GoldenFalcon's GoldenFalcons",127.22,"LOSE",880716,"thequicknthedead’s Sloppy Steaks",154.52,"50883786",TRUE,NA,NA,NA,NA
"1201",5,1252730,"Show Me Your TDs",130.48,"WIN",880716,"thequicknthedead’s Sloppy Steaks",98.46,"50883795",TRUE,NA,NA,NA,NA
"1202",5,880747,"Olave Garden",117.62,"WIN",880727,"Trancemark Troublemakers",102.18,"50883794",TRUE,NA,NA,NA,NA
"1203",5,1316968,"Gonzofisted Slurms",147.26,"WIN",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",102.92,"50883797",TRUE,NA,NA,NA,NA
"1204",5,880886,"HiredGoon's Mud is a Food",135.86,"WIN",1084591,"sakuraba39",113.98,"50883793",TRUE,NA,NA,NA,NA
"1205",5,880715,"Basedinspace's Lobos",99.28,"LOSE",1171752,"Wocao",116.56,"50883792",TRUE,NA,NA,NA,NA
"1206",5,1252734,"ogin's Iowa’s Offensive Offense",161,"WIN",1315309,"GoldenFalcon's GoldenFalcons",125.24,"50883796",TRUE,NA,NA,NA,NA
"1207",5,880716,"thequicknthedead’s Sloppy Steaks",98.46,"LOSE",1252730,"Show Me Your TDs",130.48,"50883795",TRUE,NA,NA,NA,NA
"1208",5,880727,"Trancemark Troublemakers",102.18,"LOSE",880747,"Olave Garden",117.62,"50883794",TRUE,NA,NA,NA,NA
"1209",5,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",102.92,"LOSE",1316968,"Gonzofisted Slurms",147.26,"50883797",TRUE,NA,NA,NA,NA
"1210",5,1084591,"sakuraba39",113.98,"LOSE",880886,"HiredGoon's Mud is a Food",135.86,"50883793",TRUE,NA,NA,NA,NA
"1211",5,1171752,"Wocao",116.56,"WIN",880715,"Basedinspace's Lobos",99.28,"50883792",TRUE,NA,NA,NA,NA
"1212",5,1315309,"GoldenFalcon's GoldenFalcons",125.24,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",161,"50883796",TRUE,NA,NA,NA,NA
"1213",6,880727,"Trancemark Troublemakers",82.12,"LOSE",880715,"Basedinspace's Lobos",135.82,"50883799",TRUE,NA,NA,NA,NA
"1214",6,880716,"thequicknthedead’s Sloppy Steaks",134.12,"WIN",880886,"HiredGoon's Mud is a Food",109.86,"50883798",TRUE,NA,NA,NA,NA
"1215",6,1252730,"Show Me Your TDs",101.84,"WIN",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",79.72,"50883803",TRUE,NA,NA,NA,NA
"1216",6,1171752,"Wocao",110.42,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",122.58,"50883801",TRUE,NA,NA,NA,NA
"1217",6,880747,"Olave Garden",86.58,"LOSE",1315309,"GoldenFalcon's GoldenFalcons",97.3,"50883802",TRUE,NA,NA,NA,NA
"1218",6,1084591,"sakuraba39",103.8,"WIN",1316968,"Gonzofisted Slurms",91.5,"50883800",TRUE,NA,NA,NA,NA
"1219",6,880715,"Basedinspace's Lobos",135.82,"WIN",880727,"Trancemark Troublemakers",82.12,"50883799",TRUE,NA,NA,NA,NA
"1220",6,880886,"HiredGoon's Mud is a Food",109.86,"LOSE",880716,"thequicknthedead’s Sloppy Steaks",134.12,"50883798",TRUE,NA,NA,NA,NA
"1221",6,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",79.72,"LOSE",1252730,"Show Me Your TDs",101.84,"50883803",TRUE,NA,NA,NA,NA
"1222",6,1252734,"ogin's Iowa’s Offensive Offense",122.58,"WIN",1171752,"Wocao",110.42,"50883801",TRUE,NA,NA,NA,NA
"1223",6,1315309,"GoldenFalcon's GoldenFalcons",97.3,"WIN",880747,"Olave Garden",86.58,"50883802",TRUE,NA,NA,NA,NA
"1224",6,1316968,"Gonzofisted Slurms",91.5,"LOSE",1084591,"sakuraba39",103.8,"50883800",TRUE,NA,NA,NA,NA
"1225",7,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",110.92,"WIN",880716,"thequicknthedead’s Sloppy Steaks",83.78,"50883806",TRUE,NA,NA,NA,NA
"1226",7,1315309,"GoldenFalcon's GoldenFalcons",112.94,"LOSE",880727,"Trancemark Troublemakers",140.84,"50883807",TRUE,NA,NA,NA,NA
"1227",7,880747,"Olave Garden",63.6,"LOSE",1084591,"sakuraba39",96.8,"50883808",TRUE,NA,NA,NA,NA
"1228",7,1252730,"Show Me Your TDs",84.16,"LOSE",1171752,"Wocao",115.02,"50883809",TRUE,NA,NA,NA,NA
"1229",7,880715,"Basedinspace's Lobos",143.72,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",143.86,"50883804",TRUE,NA,NA,NA,NA
"1230",7,880886,"HiredGoon's Mud is a Food",103.04,"WIN",1316968,"Gonzofisted Slurms",102.82,"50883805",TRUE,NA,NA,NA,NA
"1231",7,880716,"thequicknthedead’s Sloppy Steaks",83.78,"LOSE",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",110.92,"50883806",TRUE,NA,NA,NA,NA
"1232",7,880727,"Trancemark Troublemakers",140.84,"WIN",1315309,"GoldenFalcon's GoldenFalcons",112.94,"50883807",TRUE,NA,NA,NA,NA
